Time (s), X(km), Y(km)
50.000, 380.664, 3600.123,
52.083, 397.557, 3599.027,
54.167, 415.339, 3598.815,
56.250, 430.773, 3599.988,
58.333, 447.515, 3599.002,
60.417, 462.441, 3599.932,
62.500, 478.055, 3598.813,
64.583, 492.941, 3600.123,
66.667, 511.994, 3600.911,
68.750, 525.906, 3599.950,
70.833, 543.296, 3598.016,
72.917, 557.760, 3601.691,
75.000, 573.961, 3598.337,
77.083, 589.357, 3598.988,
79.167, 605.808, 3599.531,
81.250, 621.261, 3600.895,
83.333, 636.908, 3600.465,
85.417, 652.263, 3600.188,
87.500, 668.777, 3598.647,
89.583, 685.921, 3602.093,
91.667, 701.325, 3599.244,
93.750, 716.437, 3599.743,
95.833, 732.815, 3599.285,
97.917, 748.603, 3599.995,
100.000, 764.433, 3600.794,
102.083, 778.785, 3599.115,
104.167, 794.744, 3599.317,
106.250, 811.464, 3599.341,
108.333, 827.990, 3599.743,
110.417, 843.497, 3600.199,
112.500, 861.546, 3600.888,
114.583, 874.975, 3599.417,
116.667, 892.954, 3598.513,
118.750, 908.016, 3597.735,
120.833, 926.944, 3601.617,
122.917, 940.567, 3600.180,
125.000, 957.086, 3599.271,
127.083, 971.689, 3599.840,
129.167, 986.863, 3599.731,
131.250, 1003.525, 3599.734,
133.333, 1020.864, 3600.464,
135.417, 1035.431, 3600.092,
137.500, 1052.792, 3600.201,
139.583, 1068.231, 3598.762,
141.667, 1081.774, 3600.609,
143.750, 1100.498, 3600.688,
145.833, 1116.452, 3598.746,
147.917, 1132.578, 3600.117,
150.000, 1146.248, 3601.247,
152.083, 1163.380, 3599.176,
154.167, 1178.681, 3599.206,
156.250, 1193.731, 3601.378,
158.333, 1210.855, 3600.905,
160.417, 1228.679, 3599.881,
162.500, 1243.347, 3600.116,
164.583, 1257.519, 3598.985,
166.667, 1273.860, 3599.451,
168.750, 1292.094, 3598.463,
170.833, 1307.161, 3601.054,
172.917, 1323.699, 3600.002,
175.000, 1338.954, 3600.703,
